New Episode:
1297,1.18,1156

New Episode:
1297,1.18,1156

New Episode:
1302.45,6.941767,1161.062
1302.452,6.936475,1161.064
1302.469,6.923291,1161.079
1302.476,6.895012,1161.089
1302.47,6.84727,1161.089
1302.46,6.787809,1161.084
1302.452,6.726152,1161.081
1302.448,6.664827,1161.082
1302.449,6.604549,1161.085
1302.454,6.545759,1161.092
1302.463,6.48878,1161.1
1302.477,6.440901,1161.104
1302.501,6.415228,1161.107
1302.536,6.405836,1161.115
1302.58,6.406164,1161.13
1302.631,6.41144,1161.152
1302.688,6.418369,1161.182
1302.751,6.423677,1161.218
1302.817,6.425687,1161.259
1302.885,6.423295,1161.305
1302.955,6.414983,1161.357
1303.024,6.399717,1161.411
1303.088,6.378209,1161.464
1303.147,6.351962,1161.512
1303.199,6.322795,1161.552
1303.244,6.292675,1161.582
1303.282,6.263605,1161.6
1303.315,6.237245,1161.607
1303.342,6.214935,1161.605
1303.367,6.197724,1161.594
1303.389,6.18673,1161.576
1303.41,6.182773,1161.553
1303.431,6.185596,1161.527
1303.454,6.194922,1161.5
1303.48,6.209672,1161.476
1303.51,6.227806,1161.458
1303.543,6.24671,1161.445
1303.576,6.265305,1161.438
1303.609,6.282418,1161.436
1303.64,6.296337,1161.439
1303.667,6.304944,1161.447
1303.69,6.306699,1161.457
1303.708,6.300799,1161.469
1303.721,6.287691,1161.479
1303.726,6.268566,1161.486
1303.724,6.245148,1161.488
1303.716,6.219468,1161.483
1303.703,6.193388,1161.471
1303.685,6.168655,1161.454
1303.664,6.146651,1161.431
1303.641,6.128753,1161.404
1303.616,6.116244,1161.375
1303.592,6.11123,1161.345
1303.568,6.113957,1161.316
1303.546,6.123614,1161.291
1303.527,6.138251,1161.271
1303.51,6.155425,1161.257
1303.495,6.171867,1161.248
1303.484,6.186224,1161.243
1303.474,6.197358,1161.242
1303.466,6.204062,1161.245
1303.46,6.204975,1161.252
1303.455,6.199952,1161.261
1303.45,6.189094,1161.271
1303.445,6.17337,1161.28
1303.438,6.154338,1161.287
1303.43,6.133889,1161.291
1303.42,6.114124,1161.291
1303.408,6.096556,1161.287
1303.396,6.082191,1161.28
1303.383,6.071572,1161.271
1303.371,6.065126,1161.261
1303.359,6.062986,1161.249
1303.347,6.065535,1161.237
1303.338,6.072547,1161.226
1303.33,6.083267,1161.217
1303.325,6.096605,1161.211
1303.323,6.111049,1161.207
1303.324,6.125386,1161.208
1303.328,6.138706,1161.211
